category,count,feature,type,date
0-17,1135,age,cases,2020-04-05
18-44,25383,age,cases,2020-04-05
45-64,23135,age,cases,2020-04-05
65-74,8260,age,cases,2020-04-05
Over_75,6905,age,cases,2020-04-05
Female,29607,sex,cases,2020-04-05
Male,35256,sex,cases,2020-04-05
Bronx,12738,borough,cases,2020-04-05
Brooklyn,17520,borough,cases,2020-04-05
Manhattan,9251,borough,cases,2020-04-05
Queens,21781,borough,cases,2020-04-05
Staten_Island,3628,borough,cases,2020-04-05
0-17,2,age,death_underlying,2020-04-05
0-17,0,age,death_no_underlying,2020-04-05
0-17,0,age,death_underlying_pending,2020-04-05
18-44,88,age,death_underlying,2020-04-05
18-44,9,age,death_no_underlying,2020-04-05
18-44,43,age,death_underlying_pending,2020-04-05
45-64,411,age,death_underlying,2020-04-05
45-64,21,age,death_no_underlying,2020-04-05
45-64,155,age,death_underlying_pending,2020-04-05
65-74,410,age,death_underlying,2020-04-05
65-74,4,age,death_no_underlying,2020-04-05
65-74,198,age,death_underlying_pending,2020-04-05
Over_75,624,age,death_underlying,2020-04-05
Over_75,4,age,death_no_underlying,2020-04-05
Over_75,503,age,death_underlying_pending,2020-04-05
Female,573,sex,death_underlying,2020-04-05
Female,7,sex,death_no_underlying,2020-04-05
Female,340,sex,death_underlying_pending,2020-04-05
Male,960,sex,death_underlying,2020-04-05
Male,31,sex,death_no_underlying,2020-04-05
Male,559,sex,death_underlying_pending,2020-04-05
Bronx,532,borough,death_underlying,2020-04-05
Bronx,9,borough,death_no_underlying,2020-04-05
Bronx,86,borough,death_underlying_pending,2020-04-05
Brooklyn,328,borough,death_underlying,2020-04-05
Brooklyn,7,borough,death_no_underlying,2020-04-05
Brooklyn,333,borough,death_underlying_pending,2020-04-05
Manhattan,175,borough,death_underlying,2020-04-05
Manhattan,7,borough,death_no_underlying,2020-04-05
Manhattan,95,borough,death_underlying_pending,2020-04-05
Queens,425,borough,death_underlying,2020-04-05
Queens,15,borough,death_no_underlying,2020-04-05
Queens,331,borough,death_underlying_pending,2020-04-05
Staten_Island,74,borough,death_underlying,2020-04-05
Staten_Island,0,borough,death_no_underlying,2020-04-05
Staten_Island,54,borough,death_underlying_pending,2020-04-05
0-17,92,age,hospitalizations,2020-04-05
18-44,1962,age,hospitalizations,2020-04-05
45-64,4368,age,hospitalizations,2020-04-05
65-74,2572,age,hospitalizations,2020-04-05
Over_75,2745,age,hospitalizations,2020-04-05
Female,4765,sex,hospitalizations,2020-04-05
Male,6970,sex,hospitalizations,2020-04-05
Bronx,2924,borough,hospitalizations,2020-04-05
Brooklyn,2826,borough,hospitalizations,2020-04-05
Manhattan,1414,borough,hospitalizations,2020-04-05
Queens,3889,borough,hospitalizations,2020-04-05
Staten_Island,677,borough,hospitalizations,2020-04-05
